Date,Account,Account ID,Campaign name,Campaign ID,Ad group name,Ad group ID,Device,Clicks,Cost,Conversions
,Edu - Google 2,6565039802,,,,,,,,
7/1/2018,Car - Google,1013522257,Car - Auto (Desktop),1345433445,Auto - Cheap,52418525405,Computers,1,2.45,0
7/1/2018,Car - Google,1013522257,Car - Auto (Desktop),1345433445,Auto - Cheap,52418525405,Tablets with full browsers,1,1.56,0
7/1/2018,Car - Google,1013522257,Car - Auto (Mobile),1368304483,Auto - Cheap,57183840600,Mobile devices with full browsers,7,7.2,0
7/1/2018,Car - Google,1013522257,Car - Car (Desktop),1345633801,Car - Companies,56729145791,Tablets with full browsers,1,1.85,0
7/1/2018,Car - Google,1013522257,Car - Car (Mobile),1368567597,Car - Cheap,60127486928,Mobile devices with full browsers,4,5.69,0
7/1/2018,Car - Google,1013522257,Car - Car (Mobile),1368567597,Car - Companies,57387447249,Mobile devices with full browsers,1,1.01,0
7/1/2018,Car - Google,1013522257,Car - Car (Mobile),1368567597,Car - Quote,57474112514,Mobile devices with full browsers,1,1.16,0
7/1/2018,Car - Google,1013522257,Car - DUI (Desktop),1345431075,DUI - General,60836499104,Tablets with full browsers,4,9.64,0
7/1/2018,Car - Google,1013522257,Car - DUI (Mobile),1368103409,DUI - General,53463727086,Mobile devices with full browsers,8,13.98,0
7/1/2018,Car - Google,1013522257,Car - First (Mobile),1368304015,First - General,54704519996,Mobile devices with full browsers,4,6.73,0
7/1/2018,Car - Google,1013522257,Car - High.Risk (Desktop),1345632229,High.Risk - General,53457766745,Computers,1,2.92,0
7/1/2018,Car - Google,1013522257,Car - High.Risk (Mobile),1368304462,High.Risk - General,53314513863,Mobile devices with full browsers,2,3.39,0
7/1/2018,Car - Google,1013522257,Car - Liability (Desktop),1345629013,Liability - General,62470773308,Computers,6,16.69,0
7/1/2018,Car - Google,1013522257,Car - Liability (Mobile),1368103886,Liability - General,53463729046,Mobile devices with full browsers,5,8.89,0
7/1/2018,Car - Google,1013522257,Car - New.Driver (Mobile),1368567519,New.Driver - General,52124404542,Mobile devices with full browsers,3,5.4,0
