Date,Account name,Account ID,Campaign name,Campaign ID,Ad group name,Ad group ID,Device type,Keyword,Keyword ID,Bidded match type,Keyword status,Final URL,Final mobile URL,Clicks,Cost,Conversions
2018-10-21,Lif - Bing,146001195,Lif - Children (Desktop),335315491,Children - Children,1220458101731964,Tablet,life insurance for +children,76278771250850,Broad,Active,https://www.findlifeinsurance.org/child/,,1,0.74,0
2018-10-21,Lif - Bing,146001195,Lif - Children (Mobile),335315496,Children - Baby,1209462985460834,Smartphone,+baby +life insurance,75591575823019,Broad,Active,https://www.findlifeinsurance.org/child/,,1,0.47,0
2018-10-21,Lif - Bing,146001195,Lif - Children (Mobile),335315496,Children - Children,1208363473991281,Smartphone,do kids need +life insurance,75522855765925,Broad,Active,https://www.findlifeinsurance.org/child/,,1,0.41,0
2018-10-21,Lif - Bing,146001195,Lif - Children (Mobile),335315496,Children - Children,1208363473991281,Smartphone,life insurance for +children,75522855765900,Broad,Active,https://www.findlifeinsurance.org/child/,,1,0.59,0
2018-10-21,Lif - Bing,146001195,Lif - Family (Desktop),335315492,Family - Quotes,1211662009016164,Computer,family +life +quotes,75729014439144,Broad,Active,https://www.findlifeinsurance.org/family/,,1,0.62,0
2018-10-21,Lif - Bing,146001195,Lif - Family (Mobile),335315494,Family - Quotes,1218259078972362,Smartphone,+family insurance quotes,76141330444260,Broad,Active,https://www.findlifeinsurance.org/family/,,1,0.58,0
2018-10-21,Lif - Bing,146001195,Lif - Illness (Desktop),335315490,Illness - Cover,1213861032244950,Computer,+critical illness plan,75866453528161,Broad,Active,https://www.findlifeinsurance.org/illness/,,1,0.29,0
2018-10-21,Lif - Bing,146001195,Lif - Illness (Desktop),335315490,Illness - Cover,1213861032244950,Computer,buy +critical illness insurance,75866453528111,Broad,Active,https://www.findlifeinsurance.org/illness/,,1,0.6,0
2018-10-21,Lif - Bing,146001195,Lif - Illness (Desktop),335315490,Illness - Cover,1213861032244950,Computer,compare +critical illness cover,75866453528407,Broad,Active,https://www.findlifeinsurance.org/illness/,,1,0.44,0
2018-10-21,Lif - Bing,146001195,Lif - Illness (Desktop),335315490,Illness - Cover,1213861032244950,Computer,life +critical illness,75866453528406,Broad,Active,https://www.findlifeinsurance.org/illness/,,1,0.44,0
2018-10-21,Lif - Bing,146001195,Lif - Illness (Mobile),335315497,Illness - Cover,1207263962524960,Smartphone,+illness protection,75454136146888,Broad,Active,https://www.findlifeinsurance.org/illness/,,1,0.38,0
2018-10-21,Lif - Bing,146001195,Lif - Illness (Mobile),335315497,Illness - Cover,1207263962524960,Smartphone,best +critical illness policy,75454136146760,Broad,Active,https://www.findlifeinsurance.org/illness/,,1,0.38,0
2018-10-21,Lif - Bing,146001195,Lif - Life.Insurance (Desktop),335315493,Life Insurance - Best,1222657125458766,Computer,+best +life.insurance policy,76416208854325,Broad,Active,https://www.findlifeinsurance.org/,,1,0.28,0
2018-10-21,Lif - Bing,146001195,Lif - Life.Insurance (Desktop),335315493,Life Insurance - Compare,1221557613674237,Computer,compare +life,76347488784286,Broad,Active,https://www.findlifeinsurance.org/,,1,0.38,0
